                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |          0 |          0 |      50827 |  339629223 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  Cycles                             |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750 |  127903750
  IPC                                |       0.00 |       0.00 |       0.00 |       2.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Time (ns)                          |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500
  Idle time (ns)                     |   51161500 |   51161500 |   51109496 |        -91 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500 |   51161500
  Idle time (%)                      |     100.0% |     100.0% |      99.9% |      -0.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0% |     100.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |          0 |          0 |       7141 |   33409102 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num incorrect                      |          0 |          0 |       1053 |    1202248 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  misprediction rate                 |      0.00% |      0.00% |     12.85% |      3.47% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
